"chart_date","rank","track_id"
"2019-12-30",1,93074474
"2019-12-30",2,18036201
"2019-12-30",3,88519510
"2019-12-30",4,80826091
"2019-12-30",5,89188110
"2019-12-30",6,27083785
"2019-12-30",7,91649603
"2019-12-30",8,63278292
"2019-12-30",9,24177873
"2019-12-30",10,61788495
"2019-12-23",1,93074474
"2019-12-23",2,80826091
"2019-12-23",3,38966472
"2019-12-23",4,87897638
"2019-12-23",5,94260837
"2019-12-23",6,24177873
"2019-12-23",7,88519510
"2019-12-23",8,91649603
"2019-12-23",9,27039464
"2019-12-23",10,79728468
"2019-12-16",1,84659338
"2019-12-16",2,88519510
"2019-12-16",3,80826091
"2019-12-16",4,24177873
"2019-12-16",5,18036201
"2019-12-16",6,83910873
"2019-12-16",7,74059927
"2019-12-16",8,56484753
"2019-12-16",9,37372362
"2019-12-16",10,51263247
"2019-12-09",1,24177873
"2019-12-09",2,78034373
"2019-12-09",3,50006028
"2019-12-09",4,37209398
"2019-12-09",5,27039464
"2019-12-09",6,46318849
"2019-12-09",7,50219108
"2019-12-09",8,59637586
"2019-12-09",9,62674668
"2019-12-09",10,35721671
"2019-12-02",1,50219108
"2019-12-02",2,10006080
"2019-12-02",3,64240166
"2019-12-02",4,62674668
"2019-12-02",5,35721671
"2019-12-02",6,95400081
"2019-12-02",7,77344947
"2019-12-02",8,88980366
"2019-12-02",9,16550725
"2019-12-02",10,71855646
"2019-11-25",1,18036201
"2019-11-25",2,36566912
"2019-11-25",3,74059927
"2019-11-25",4,85804372
"2019-11-25",5,62674668
"2019-11-25",6,64240166
"2019-11-25",7,30301738
"2019-11-25",8,83979824
"2019-11-25",9,85620736
"2019-11-25",10,35721671
"2019-11-18",1,80826091
"2019-11-18",2,16550725
"2019-11-18",3,77344947
"2019-11-18",4,29628157
"2019-11-18",5,52158077
"2019-11-18",6,43091228
"2019-11-18",7,22276152
"2019-11-18",8,57128020
"2019-11-18",9,11798509
"2019-11-18",10,70377468
"2019-11-11",1,30301738
"2019-11-11",2,29628157
"2019-11-11",3,36566912
"2019-11-11",4,53515863
"2019-11-11",5,11798509
"2019-11-11",6,77344947
"2019-11-11",7,64240166
"2019-11-11",8,70377468
"2019-11-11",9,22276152
"2019-11-11",10,81244967
"2019-11-04",1,36566912
"2019-11-04",2,88128008
"2019-11-04",3,93112684
"2019-11-04",4,72385121
"2019-11-04",5,47896777
"2019-11-04",6,71638783
"2019-11-04",7,75398750
"2019-11-04",8,40800151
"2019-11-04",9,51263247
"2019-11-04",10,83612206
"2019-10-28",1,51915274
"2019-10-28",2,46318849
"2019-10-28",3,64976640
"2019-10-28",4,77416474
"2019-10-28",5,93112684
"2019-10-28",6,88128008
"2019-10-28",7,72628320
"2019-10-28",8,32663665
"2019-10-28",9,61457369
"2019-10-28",10,83612206
"2019-10-21",1,46318849
"2019-10-21",2,78034373
"2019-10-21",3,36566912
"2019-10-21",4,37209398
"2019-10-21",5,27039464
"2019-10-21",6,35065443
"2019-10-21",7,38874361
"2019-10-21",8,33786770
"2019-10-21",9,82452496
"2019-10-21",10,19291764
"2019-10-14",1,92312018
"2019-10-14",2,32001796
"2019-10-14",3,57289886
"2019-10-14",4,59799653
"2019-10-14",5,44660074
"2019-10-14",6,38874361
"2019-10-14",7,83656310
"2019-10-14",8,19291764
"2019-10-14",9,71382984
"2019-10-14",10,82452496
"2019-10-07",1,32001796
"2019-10-07",2,44660074
"2019-10-07",3,19291764
"2019-10-07",4,63278292
"2019-10-07",5,87064514
"2019-10-07",6,83656310
"2019-10-07",7,71382984
"2019-10-07",8,27039464
"2019-10-07",9,36429241
"2019-10-07",10,95799800
"2019-09-30",1,83656310
"2019-09-30",2,90115900
"2019-09-30",3,38874361
"2019-09-30",4,32121618
"2019-09-30",5,99377517
"2019-09-30",6,44660074
"2019-09-30",7,93252302
"2019-09-30",8,81881257
"2019-09-30",9,87064514
"2019-09-30",10,77578488
"2019-09-23",1,99377517
"2019-09-23",2,21456199
"2019-09-23",3,95895490
"2019-09-23",4,40083126
"2019-09-23",5,19291764
"2019-09-23",6,39926524
"2019-09-23",7,10326423
"2019-09-23",8,75972445
"2019-09-23",9,66237257
"2019-09-23",10,39175010
"2019-09-16",1,79654113
"2019-09-16",2,19291764
"2019-09-16",3,99377517
"2019-09-16",4,82452496
"2019-09-16",5,66395204
"2019-09-16",6,82375320
"2019-09-16",7,38874361
"2019-09-16",8,50219108
"2019-09-16",9,10006080
"2019-09-16",10,89188110
"2019-09-09",1,48391210
"2019-09-09",2,75972445
"2019-09-09",3,30613049
"2019-09-09",4,91197723
"2019-09-09",5,56108606
"2019-09-09",6,46318221
"2019-09-09",7,82452496
"2019-09-09",8,87865210
"2019-09-09",9,19291764
"2019-09-09",10,66237257
"2019-09-02",1,46318221
"2019-09-02",2,19291764
"2019-09-02",3,59712985
"2019-09-02",4,82263231
"2019-09-02",5,55908734
"2019-09-02",6,10326423
"2019-09-02",7,80478071
"2019-09-02",8,18694276
"2019-09-02",9,74374203
"2019-09-02",10,55928092
"2019-08-26",1,10006080
"2019-08-26",2,54993297
"2019-08-26",3,19291764
"2019-08-26",4,18839880
"2019-08-26",5,81476255
"2019-08-26",6,54916841
"2019-08-26",7,84421433
"2019-08-26",8,81604167
"2019-08-26",9,84659338
"2019-08-26",10,44660074
"2019-08-19",1,54993297
"2019-08-19",2,95799800
"2019-08-19",3,86225807
"2019-08-19",4,75328318
"2019-08-19",5,41940833
"2019-08-19",6,36429241
"2019-08-19",7,85220335
"2019-08-19",8,67582742
"2019-08-19",9,19747133
"2019-08-19",10,12893601
"2019-08-12",1,71382984
"2019-08-12",2,63278292
"2019-08-12",3,27039464
"2019-08-12",4,41940833
"2019-08-12",5,86225807
"2019-08-12",6,54993297
"2019-08-12",7,36429241
"2019-08-12",8,19747133
"2019-08-12",9,38874361
"2019-08-12",10,44660074
"2019-08-05",1,71382984
"2019-08-05",2,41940833
"2019-08-05",3,44660074
"2019-08-05",4,38874361
"2019-08-05",5,83656310
"2019-08-05",6,59044739
"2019-08-05",7,99273508
"2019-08-05",8,82452496
"2019-08-05",9,98524456
"2019-08-05",10,89449664
"2019-07-29",1,44660074
"2019-07-29",2,38874361
"2019-07-29",3,83656310
"2019-07-29",4,94207923
"2019-07-29",5,66395204
"2019-07-29",6,82452496
"2019-07-29",7,82375320
"2019-07-29",8,19291764
"2019-07-29",9,89188110
"2019-07-29",10,35762651
"2019-07-22",1,83656310
"2019-07-22",2,44660074
"2019-07-22",3,19291764
"2019-07-22",4,94207923
"2019-07-22",5,66395204
"2019-07-22",6,83826261
"2019-07-22",7,99145735
"2019-07-22",8,37309138
"2019-07-22",9,13170193
"2019-07-22",10,10006080
"2019-07-15",1,83656310
"2019-07-15",2,83826261
"2019-07-15",3,44660074
"2019-07-15",4,35762651
"2019-07-15",5,52286055
"2019-07-15",6,13170193
"2019-07-15",7,66395204
"2019-07-15",8,82452496
"2019-07-15",9,23472663
"2019-07-15",10,91649603
"2019-07-08",1,83656310
"2019-07-08",2,75328318
"2019-07-08",3,87064514
"2019-07-08",4,21190027
"2019-07-08",5,87438969
"2019-07-08",6,65788922
"2019-07-08",7,54916841
"2019-07-08",8,44660074
"2019-07-08",9,76544646
"2019-07-08",10,48468347
"2019-07-01",1,94207923
"2019-07-01",2,12088457
"2019-07-01",3,65788922
"2019-07-01",4,67430749
"2019-07-01",5,59947872
"2019-07-01",6,32628303
"2019-07-01",7,14147895
"2019-07-01",8,50398771
"2019-07-01",9,82784186
"2019-07-01",10,84509517
"2019-06-24",1,64449510
"2019-06-24",2,87064514
"2019-06-24",3,99145735
"2019-06-24",4,40768645
"2019-06-24",5,82531864
"2019-06-24",6,10006080
"2019-06-24",7,75328318
"2019-06-24",8,75777987
"2019-06-24",9,81476255
"2019-06-24",10,19291764
"2019-06-17",1,38351784
"2019-06-17",2,95367949
"2019-06-17",3,40768645
"2019-06-17",4,19291764
"2019-06-17",5,66395204
"2019-06-17",6,81476255
"2019-06-17",7,82531864
"2019-06-17",8,51923978
"2019-06-17",9,54155056
"2019-06-17",10,66694024
"2019-06-10",1,31462779
"2019-06-10",2,19291764
"2019-06-10",3,62905119
"2019-06-10",4,83826261
"2019-06-10",5,35315888
"2019-06-10",6,39945408
"2019-06-10",7,22262718
"2019-06-10",8,93064933
"2019-06-10",9,45137805
"2019-06-10",10,82531864
"2019-06-03",1,83826261
"2019-06-03",2,19291764
"2019-06-03",3,99145735
"2019-06-03",4,66395204
"2019-06-03",5,10006080
"2019-06-03",6,82531864
"2019-06-03",7,40768645
"2019-06-03",8,13170193
"2019-06-03",9,66694024
"2019-06-03",10,81476255
"2019-05-27",1,75777987
"2019-05-27",2,83826261
"2019-05-27",3,25791938
"2019-05-27",4,99145735
"2019-05-27",5,46318849
"2019-05-27",6,19291764
"2019-05-27",7,13170193
"2019-05-27",8,10006080
"2019-05-27",9,92432468
"2019-05-27",10,66395204
"2019-05-20",1,75777987
"2019-05-20",2,28031331
"2019-05-20",3,83826261
"2019-05-20",4,77344947
"2019-05-20",5,99145735
"2019-05-20",6,16550725
"2019-05-20",7,81244967
"2019-05-20",8,70377468
"2019-05-20",9,10006080
"2019-05-20",10,64449510
"2019-05-13",1,75777987
"2019-05-13",2,64449510
"2019-05-13",3,19291764
"2019-05-13",4,66395204
"2019-05-13",5,10006080
"2019-05-13",6,66694024
"2019-05-13",7,40768645
"2019-05-13",8,82531864
"2019-05-13",9,83826261
"2019-05-13",10,99145735
"2019-05-06",1,19291764
"2019-05-06",2,98608225
"2019-05-06",3,10006080
"2019-05-06",4,83826261
"2019-05-06",5,23309448
"2019-05-06",6,66694024
"2019-05-06",7,20343732
"2019-05-06",8,66395204
"2019-05-06",9,82531864
"2019-05-06",10,35762651
"2019-04-29",1,19291764
"2019-04-29",2,99145735
"2019-04-29",3,28031331
"2019-04-29",4,25791938
"2019-04-29",5,66395204
"2019-04-29",6,88980366
"2019-04-29",7,10006080
"2019-04-29",8,51923978
"2019-04-29",9,13170193
"2019-04-29",10,38519745
"2019-04-22",1,25791938
"2019-04-22",2,28031331
"2019-04-22",3,19291764
"2019-04-22",4,10006080
"2019-04-22",5,68478080
"2019-04-22",6,54916841
"2019-04-22",7,83826261
"2019-04-22",8,99145735
"2019-04-22",9,29628157
"2019-04-22",10,66694024
"2019-04-15",1,83826261
"2019-04-15",2,25791938
"2019-04-15",3,19291764
"2019-04-15",4,28031331
"2019-04-15",5,20343732
"2019-04-15",6,66694024
"2019-04-15",7,82531864
"2019-04-15",8,40768645
"2019-04-15",9,10006080
"2019-04-15",10,66395204
"2019-04-08",1,25791938
"2019-04-08",2,83826261
"2019-04-08",3,20343732
"2019-04-08",4,19291764
"2019-04-08",5,38519745
"2019-04-08",6,14919432
"2019-04-08",7,66395204
"2019-04-08",8,85179470
"2019-04-08",9,99145735
"2019-04-08",10,10006080
"2019-04-01",1,16650633
"2019-04-01",2,51923978
"2019-04-01",3,31855277
"2019-04-01",4,27083785
"2019-04-01",5,24177873
"2019-04-01",6,80826091
"2019-04-01",7,15198051
"2019-04-01",8,94260837
"2019-04-01",9,71968705
"2019-04-01",10,38966472
"2019-03-25",1,85000755
"2019-03-25",2,51923978
"2019-03-25",3,10006080
"2019-03-25",4,88980366
"2019-03-25",5,66694024
"2019-03-25",6,35183722
"2019-03-25",7,19291764
"2019-03-25",8,70434777
"2019-03-25",9,93605919
"2019-03-25",10,89188110
"2019-03-18",1,28031331
"2019-03-18",2,62905119
"2019-03-18",3,47862414
"2019-03-18",4,89188110
"2019-03-18",5,82452496
"2019-03-18",6,87438969
"2019-03-18",7,50219108
"2019-03-18",8,35762651
"2019-03-18",9,15210066
"2019-03-18",10,10006080
"2019-03-11",1,47862414
"2019-03-11",2,14919432
"2019-03-11",3,31855277
"2019-03-11",4,89188110
"2019-03-11",5,27065072
"2019-03-11",6,43422252
"2019-03-11",7,72385121
"2019-03-11",8,45512615
"2019-03-11",9,82452496
"2019-03-11",10,60862270
"2019-03-04",1,93074474
"2019-03-04",2,35762651
"2019-03-04",3,66694024
"2019-03-04",4,89188110
"2019-03-04",5,10006080
"2019-03-04",6,82452496
"2019-03-04",7,50219108
"2019-03-04",8,15210066
"2019-03-04",9,23309448
"2019-03-04",10,47862414
"2019-02-25",1,35762651
"2019-02-25",2,51923978
"2019-02-25",3,66694024
"2019-02-25",4,82452496
"2019-02-25",5,35183722
"2019-02-25",6,89188110
"2019-02-25",7,50219108
"2019-02-25",8,58751867
"2019-02-25",9,78244801
"2019-02-25",10,85000755
"2019-02-18",1,85000755
"2019-02-18",2,51923978
"2019-02-18",3,88980366
"2019-02-18",4,35183722
"2019-02-18",5,77532935
"2019-02-18",6,47805749
"2019-02-18",7,58751867
"2019-02-18",8,65446946
"2019-02-18",9,78244801
"2019-02-18",10,42031985
"2019-02-11",1,66694024
"2019-02-11",2,10006080
"2019-02-11",3,50219108
"2019-02-11",4,82452496
"2019-02-11",5,89188110
"2019-02-11",6,15210066
"2019-02-11",7,81476255
"2019-02-11",8,65755731
"2019-02-11",9,88980366
"2019-02-11",10,99078920
"2019-02-04",1,15198051
"2019-02-04",2,64902527
"2019-02-04",3,83537853
"2019-02-04",4,68781645
"2019-02-04",5,72362411
"2019-02-04",6,18036201
"2019-02-04",7,10006080
"2019-02-04",8,32107099
"2019-02-04",9,89188110
"2019-02-04",10,71855646
"2019-01-28",1,15198051
"2019-01-28",2,56339793
"2019-01-28",3,93074474
"2019-01-28",4,94260837
"2019-01-28",5,87897638
"2019-01-28",6,79728468
"2019-01-28",7,38966472
"2019-01-28",8,61248511
"2019-01-28",9,37209398
"2019-01-28",10,27039464
"2019-01-21",1,56339793
"2019-01-21",2,93074474
"2019-01-21",3,38966472
"2019-01-21",4,87897638
"2019-01-21",5,81493343
"2019-01-21",6,94260837
"2019-01-21",7,72882531
"2019-01-21",8,79728468
"2019-01-21",9,62674668
"2019-01-21",10,80826091
"2019-01-14",1,18036201
"2019-01-14",2,38966472
"2019-01-14",3,93074474
"2019-01-14",4,80826091
"2019-01-14",5,88519510
"2019-01-14",6,78034373
"2019-01-14",7,24177873
"2019-01-14",8,27083785
"2019-01-14",9,83910873
"2019-01-14",10,87897638
"2019-01-07",1,93074474
"2019-01-07",2,38966472
"2019-01-07",3,94260837
"2019-01-07",4,18036201
"2019-01-07",5,80826091
"2019-01-07",6,79728468
"2019-01-07",7,87897638
"2019-01-07",8,27083785
"2019-01-07",9,78034373
"2019-01-07",10,24177873